iter	Passed	Remaining
657	23207	12061
658	23245	12028
659	23260	11982
660	23299	11949
661	23338	11916
662	23378	11883
663	23414	11848
664	23454	11815
665	23491	11780
666	23529	11747
667	23564	11711
668	23599	11676
669	23633	11640
670	23666	11604
671	23677	11557
672	23707	11519
673	23738	11481
674	23778	11448
675	23809	11411
676	23845	11376
677	23881	11341
678	23922	11309
679	23967	11279
680	24013	11248
681	24057	11217
682	24092	11181
683	24126	11146
684	24161	11110
685	24201	11077
686	24246	11046
687	24286	11013
688	24322	10978
689	24359	10944
690	24396	10909
691	24433	10875
692	24474	10842
693	24517	10810
694	24557	10777
695	24591	10741
696	24633	10708
697	24680	10678
698	24719	10644
699	24753	10608
700	24784	10571
701	24816	10534
702	24855	10500
703	24893	10466
704	24930	10432
705	24971	10398
706	25015	10366
707	25057	10334
708	25093	10299
709	25124	10262
710	25162	10227
711	25207	10196
712	25253	10165
713	25294	10132
714	25340	10100
715	25380	10067
716	25421	10033
717	25460	9999
718	25492	9963
719	25528	9927
720	25560	9891
721	25600	9857
722	25640	9823
723	25683	9790
724	25725	9757
725	25774	9727
726	25825	9697
727	25865	9664
728	25898	9627
729	25931	9591
730	25968	9556
731	26010	9523
732	26052	9489
733	26085	9453
734	26120	9417
735	26153	9381
736	26184	9344
737	26224	9310
738	26283	9282
739	26332	9251
740	26376	9219
741	26407	9182
742	26443	9146
743	26477	9110
744	26509	9073
745	26539	9036
746	26570	8999
747	26600	8961
748	26631	8924
749	26673	8891
750	26710	8856
751	26745	8820
752	26778	8783
753	26812	8747
754	26847	8712
755	26878	8675
756	26911	8638
757	26942	8601
758	26976	8565
759	27011	8529
760	27046	8494
761	27080	8458
762	27112	8421
763	27152	8387
764	27186	8351
765	27229	8317
766	27260	8281
767	27291	8244
768	27321	8207
769	27352	8170
770	27382	8133
771	27418	8097
772	27455	8062
773	27491	8027
774	27526	7991
775	27560	7955
776	27591	7918
777	27622	7881
778	27652	7844
779	27689	7809
780	27730	7775
781	27775	7743
782	27823	7710
783	27856	7674
784	27901	7641
785	27940	7607
786	27976	7571
787	28018	7537
788	28052	7501
789	28090	7467
790	28124	7431
791	28159	7395
792	28192	7359
793	28227	7323
794	28263	7288
795	28299	7252
796	28333	7216
797	28369	7181
798	28407	7146
799	28441	7110
800	28474	7074
801	28508	7038
802	28542	7002
803	28574	6965
804	28609	6930
805	28644	6894
806	28681	6859
807	28720	6824
808	28752	6788
809	28789	6752
810	28830	6718
811	28869	6684
812	28900	6647
813	28939	6612
814	28975	6577
815	29007	6540
816	29041	6505
817	29076	6469
818	29107	6432
819	29140	6396
820	29181	6362
821	29221	6327
822	29253	6291
823	29286	6255
824	29317	6218
825	29351	6183
826	29389	6148
827	29427	6112
828	29467	6078
829	29510	6044
830	29552	6010
831	29595	5976
832	29637	5941
833	29680	5907
834	29717	5872
835	29754	5836
836	29792	5801
837	29826	5766
838	29861	5730
839	29900	5695
840	29941	5660
841	29984	5626
842	30033	5593
843	30086	5561
844	30131	5527
845	30163	5490
846	30193	5454
847	30227	5418
848	30263	5382
849	30313	5349
850	30361	5315
851	30406	5281
852	30444	5246
853	30477	5210
854	30508	5173
855	30541	5137
856	30578	5102
857	30614	5066
858	30650	5031
859	30692	4996
860	30738	4962
861	30771	4926
862	30802	4889
863	30833	4853
864	30864	4816
865	30896	4780
866	30936	4745
867	30969	4709
868	31000	4673
869	31039	4638
870	31076	4602
871	31109	4566
872	31148	4531
873	31188	4496
874	31224	4460
875	31256	4424
876	31289	4388
877	31324	4352
878	31359	4316
879	31396	4281
880	31432	4245
881	31468	4210
882	31506	4174
883	31540	4138
884	31589	4104
885	31630	4069
886	31669	4034
887	31708	3999
888	31744	3963
889	31779	3927
890	31815	3892
891	31854	3856
892	31890	3821
893	31931	3786
894	31967	3750
895	32004	3714
896	32041	3679
897	32076	3643
898	32123	3608
899	32164	3573
900	32206	3538
901	32243	3503
902	32282	3467
903	32334	3433
904	32392	3400
905	32445	3366
906	32484	3330
907	32516	3294
908	32552	3258
909	32585	3222
910	32625	3187
911	32674	3152
912	32715	3117
913	32761	3082
914	32794	3046
915	32826	3010
916	32858	2974
917	32896	2938
918	32935	2902
919	32974	2867
920	33014	2831
921	33053	2796
922	33089	2760
923	33132	2725
924	33169	2689
925	33206	2653
926	33249	2618
927	33285	2582
928	33322	2546
929	33364	2511
930	33413	2476
931	33454	2440
932	33495	2405
933	33536	2369
934	33575	2334
935	33611	2298
936	33650	2262
937	33689	2226
938	33734	2191
939	33771	2155
940	33821	2120
941	33868	2085
942	33908	2049
943	33945	2013
944	33996	1978
945	34035	1942
946	34080	1907
947	34129	1872
948	34171	1836
949	34218	1800
950	34260	1765
951	34295	1729
952	34326	1692
953	34360	1656
954	34396	1620
955	34429	1584
956	34467	1548
957	34499	1512
958	34531	1476
959	34565	1440
960	34598	1404
961	34631	1367
962	34671	1332
963	34712	1296
964	34751	1260
965	34788	1224
966	34831	1188
967	34872	1152
968	34915	1117
969	34953	1081
970	34988	1044
971	35030	1009
972	35081	973
973	35121	937
974	35154	901
975	35194	865
976	35231	829
977	35282	793
978	35320	757
979	35358	721
980	35389	685
981	35422	649
982	35461	613
983	35503	577
984	35543	541
985	35579	505
986	35611	469
987	35643	432
988	35673	396
989	35706	360
990	35739	324
991	35774	288
992	35806	252
993	35839	216
994	35869	180
995	35901	144
996	35930	108
997	35966	72
998	36005	36
999	36043	0
